Using brute force collision detection.
         33958108 function calls (33954601 primitive calls) in 51.181 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000   51.184   25.592 main.py:1(<module>)
    171/1    0.007    0.000   51.182   51.182 {built-in method exec}
        1    0.007    0.007   50.840   50.840 controller.py:9(run_sim)
       94    0.019    0.000   49.582    0.527 model.py:30(step)
       94    1.926    0.020   49.467    0.526 collision.py:61(check)
  4215900   11.589    0.000   47.541    0.000 collision.py:51(colliding)
  4215900   13.887    0.000   35.952    0.000 linalg.py:1924(norm)
  4215900    3.447    0.000    8.851    0.000 numeric.py:394(asarray)
  4215900    7.156    0.000    7.156    0.000 {built-in method dot}
  4216538    5.406    0.000    5.406    0.000 {built-in method array}
  4215900    3.230    0.000    3.230    0.000 {method 'ravel' of 'numpy.ndarray' objects}
  4215900    1.432    0.000    2.829    0.000 linalg.py:111(isComplexType)
4215987/4215967    1.397    0.000    1.397    0.000 {built-in method issubclass}
    223/2    0.002    0.000    0.935    0.467 <frozen importlib._bootstrap>:2234(_find_and_load)
    223/2    0.002    0.000    0.935    0.467 <frozen importlib._bootstrap>:2207(_find_and_load_unlocked)
    216/2    0.001    0.000    0.934    0.467 <frozen importlib._bootstrap>:1186(_load_unlocked)
    159/2    0.000    0.000    0.934    0.467 <frozen importlib._bootstrap>:1122(_exec)
    159/2    0.001    0.000    0.934    0.467 <frozen importlib._bootstrap>:1465(exec_module)
    261/2    0.000    0.000    0.934    0.467 <frozen importlib._bootstrap>:313(_call_with_frames_removed)
        1    0.029    0.029    0.622    0.622 {built-in method set_mode}
        1    0.000    0.000    0.592    0.592 pkgdata.py:18(<module>)
        1    0.000    0.000    0.589    0.589 pkg_resources.py:15(<module>)
        1    0.000    0.000    0.493    0.493 pkg_resources.py:752(subscribe)
      100    0.000    0.000    0.492    0.005 pkg_resources.py:2888(<lambda>)
      100    0.001    0.000    0.492    0.005 pkg_resources.py:2418(activate)
     1501    0.479    0.000    0.479    0.000 {built-in method stat}
      103    0.001    0.000    0.473    0.005 pkg_resources.py:2413(_get_metadata)
       61    0.000    0.000    0.472    0.008 pkg_resources.py:1398(has_metadata)
       62    0.000    0.000    0.471    0.008 pkg_resources.py:1501(_has)
       62    0.001    0.000    0.471    0.008 genericpath.py:16(exists)
        1    0.000    0.000    0.342    0.342 controller.py:1(<module>)
        1    0.000    0.000    0.340    0.340 __init__.py:25(<module>)
       94    0.017    0.000    0.295    0.003 front.py:17(update_frame)
    57/53    0.000    0.000    0.268    0.005 <frozen importlib._bootstrap>:1156(_load_backward_compatible)
        1    0.257    0.257    0.257    0.257 {built-in method quit}
  202/198    0.000    0.000    0.247    0.001 <frozen importlib._bootstrap>:534(_check_name_wrapper)
    43/41    0.000    0.000    0.246    0.006 <frozen importlib._bootstrap>:1708(load_module)
    43/41    0.238    0.006    0.245    0.006 {built-in method load_dynamic}
        5    0.000    0.000    0.221    0.044 __init__.py:1(<module>)
   319/11    0.001    0.000    0.157    0.014 {built-in method __import__}
  816/109    0.001    0.000    0.156    0.001 <frozen importlib._bootstrap>:2264(_handle_fromlist)
        1    0.000    0.000    0.145    0.145 surfarray.py:61(<module>)
       94    0.143    0.002    0.143    0.002 {built-in method update}
        1    0.000    0.000    0.142    0.142 _numpysurfarray.py:45(<module>)
        1    0.000    0.000    0.141    0.141 __init__.py:106(<module>)
        1    0.000    0.000    0.118    0.118 add_newdocs.py:10(<module>)
        1    0.000    0.000    0.102    0.102 type_check.py:3(<module>)
    28200    0.042    0.000    0.079    0.000 front.py:12(draw_circ)
    28200    0.060    0.000    0.060    0.000 model.py:37(boundscheck)
        1    0.058    0.058    0.058    0.058 {built-in method init}
       94    0.056    0.001    0.056    0.001 {method 'fill' of 'pygame.Surface' objects}
        1    0.000    0.000    0.051    0.051 __init__.py:7(<module>)
      159    0.002    0.000    0.041    0.000 <frozen importlib._bootstrap>:1534(get_code)
    28200    0.037    0.000    0.037    0.000 {built-in method filled_circle}
        1    0.000    0.000    0.037    0.037 utils.py:4(<module>)
    28200    0.036    0.000    0.036    0.000 model.py:13(move)
      439    0.009    0.000    0.033    0.000 <frozen importlib._bootstrap>:2016(find_spec)
      220    0.002    0.000    0.029    0.000 <frozen importlib._bootstrap>:2147(_find_spec)
        1    0.000    0.000    0.028    0.028 plistlib.py:47(<module>)
        1    0.000    0.000    0.027    0.027 shutil.py:5(<module>)
      159    0.001    0.000    0.027    0.000 <frozen importlib._bootstrap>:654(_compile_bytecode)
      568    0.001    0.000    0.026    0.000 re.py:273(_compile)
      159    0.026    0.000    0.026    0.000 {built-in method loads}
       59    0.000    0.000    0.025    0.000 re.py:217(compile)
       58    0.000    0.000    0.025    0.000 sre_compile.py:460(compile)
      206    0.000    0.000    0.025    0.000 <frozen importlib._bootstrap>:1934(find_spec)
      206    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap>:1902(_get_spec)
        1    0.000    0.000    0.023    0.023 bz2.py:5(<module>)
       28    0.000    0.000    0.022    0.001 <frozen importlib._bootstrap>:546(_requires_builtin_wrapper)
       14    0.000    0.000    0.022    0.002 <frozen importlib._bootstrap>:1287(load_module)
       14    0.022    0.002    0.022    0.002 {built-in method init_builtin}
        1    0.000    0.000    0.021    0.021 expat.py:1(<module>)
  439/436    0.010    0.000    0.021    0.000 {built-in method __build_class__}
        1    0.000    0.000    0.019    0.019 parser.py:5(<module>)
        1    0.000    0.000    0.019    0.019 feedparser.py:20(<module>)
        1    0.000    0.000    0.016    0.016 message.py:5(<module>)
       14    0.000    0.000    0.016    0.001 pkg_resources.py:477(add_entry)
        1    0.000    0.000    0.016    0.016 platform.py:10(<module>)
        2    0.000    0.000    0.015    0.007 __init__.py:45(<module>)
       58    0.000    0.000    0.015    0.000 sre_parse.py:750(parse)
   169/58    0.001    0.000    0.014    0.000 sre_parse.py:363(_parse_sub)
   194/63    0.004    0.000    0.013    0.000 sre_parse.py:441(_parse)
      218    0.002    0.000    0.013    0.000 pkg_resources.py:1888(find_on_path)
      101    0.000    0.000    0.013    0.000 pkg_resources.py:1955(_handle_ns)
      100    0.001    0.000    0.013    0.000 pkg_resources.py:2014(fixup_namespace_packages)
      101    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap>:566(_find_module_shim)
      101    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap>:1999(find_loader)
        1    0.000    0.000    0.012    0.012 utils.py:5(<module>)
     2846    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap>:50(_path_join)
       58    0.000    0.000    0.010    0.000 sre_compile.py:445(_code)
        1    0.002    0.002    0.009    0.009 model.py:18(__init__)
       11    0.000    0.000    0.009    0.001 __init__.py:297(namedtuple)
     1109    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:68(_path_stat)
        1    0.000    0.000    0.008    0.008 pkg_resources.py:435(_build_master)
        1    0.000    0.000    0.008    0.008 pkg_resources.py:422(__init__)
        1    0.000    0.000    0.007    0.007 tempfile.py:16(<module>)
        1    0.000    0.000    0.007    0.007 case.py:1(<module>)
       95    0.007    0.000    0.007    0.000 {method 'tick' of 'Clock' objects}
      204    0.001    0.000    0.006    0.000 pkg_resources.py:2294(from_location)
        1    0.000    0.000    0.006    0.006 numeric.py:1(<module>)
        1    0.000    0.000    0.006    0.006 random.py:37(<module>)
      159    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap>:1621(get_data)
      300    0.001    0.000    0.006    0.000 model.py:7(__init__)
   365/58    0.002    0.000    0.006    0.000 sre_compile.py:33(_compile)
      159    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:1099(create)
        1    0.000    0.000    0.006    0.006 zipfile.py:5(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:15(<module>)
     2846    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:52(<listcomp>)
        1    0.000    0.000    0.005    0.005 __init__.py:9(<module>)
     2248    0.001    0.000    0.005    0.000 sre_parse.py:220(get)
     2690    0.004    0.000    0.005    0.000 sre_parse.py:195(__next)
      159    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:1019(init_module_attrs)
        1    0.000    0.000    0.004    0.004 __init__.py:38(<module>)
      511    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:78(_path_is_mode_type)
        1    0.000    0.000    0.004    0.004 hashlib.py:53(<module>)
      462    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:87(_path_isfile)
      100    0.002    0.000    0.004    0.000 pkg_resources.py:2494(insert_on)
        1    0.000    0.000    0.004    0.004 index_tricks.py:1(<module>)
       58    0.000    0.000    0.004    0.000 sre_compile.py:341(_compile_info)
      223    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:261(__enter__)
        5    0.001    0.000    0.004    0.001 enum.py:88(__new__)
        1    0.000    0.000    0.003    0.003 ctypeslib.py:51(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:24(<module>)
        1    0.000    0.000    0.003    0.003 subprocess.py:345(<module>)
      318    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:437(cache_from_source)
